Time,AxG_S1,AyG_S1,AzG_S1,AVx_S1,AVy_S1,AVz_S1,AVy_L1,AVy_R1,AVy_L2,AVy_R2,My_Dr_L1,My_Dr_R1,My_Dr_L2,My_Dr_R2,My_Bk_L1,My_Bk_R1,My_Bk_L2,My_Bk_R2,StrK_L1,StrK_R1,sv_vx,sv_vy,sv_vz,Roll_E,Pitch,Yaw
            0, -0.00347031955607, -1.63987936053e-18, 1.00069487095,             0,             0,             0,  188.57220459,  188.57220459,  188.57220459,  188.57220459,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, -9.87841267488e-05, 9.87841267488e-05, 8.33333110809,             0, -0.00649823294953,             0, -0.0446785651147,             0
        0.005, -0.00754877831787, -1.80321800116e-17, 1.00082480907, -4.97387606621e-17, 0.00330685544759, 5.32909124404e-17, 188.503128052, 188.503128052, 188.488845825, 188.488845825, 1.15314185619, 1.15314185619, 1.15314185619, 1.15314185619,          -0.5,          -0.5,          -0.5,          -0.5, -0.000103895828943, 0.000103895828943, 8.33302021027, -1.90267903554e-19, -0.00645959563553, -5.63442798411e-20, -0.0446712225676, 9.18930710616e-20
         0.01, -0.00819314457476, -2.09549889571e-16, 1.00087594986, -1.0727635881e-16, 0.00723809190094, 1.64202776365e-16, 188.490219116, 188.490219116, 188.482681274, 188.482681274, 2.53077244759, 2.53077244759, 2.53077244759, 2.53077244759,          -0.5,          -0.5,          -0.5,          -0.5, -0.000118091607874, 0.000118091607874, 8.33258342743, -1.08845470801e-18, -0.00641375267878, -3.63749107154e-19, -0.0446445643902, 6.61753692427e-19
        0.015, -0.00754595408216, -7.37601452076e-17, 1.00088107586, -3.49518563624e-16, 0.0100843477994, 3.11024780759e-16, 188.489089966, 188.489089966,  188.48487854,  188.48487854,   3.893201828,   3.893201828,   3.893201828,   3.893201828,          -0.5,          -0.5,          -0.5,          -0.5, -0.000138159608468, 0.000138159608468, 8.33215808868, -6.53648418438e-18, -0.00636412482709, -1.45891178465e-18, -0.0446007102728, 1.86013584416e-18
         0.02, -0.00687980884686, -1.25678315026e-16, 1.00085234642, -4.5417763695e-16, 0.0117850052193, 7.76866802547e-16, 188.490112305, 188.490112305,  188.48500061,  188.48500061, 5.14528799057, 5.14528799057, 5.14528799057, 5.14528799057,          -0.5,          -0.5,          -0.5,          -0.5, -0.000161006202688, 0.000161006202688, 8.33176708221, -9.76567197792e-18, -0.00631346134469, -3.50220537216e-18, -0.0445455871522, 4.40991987556e-18
        0.025, -0.00628587044775, -1.53201168339e-16, 1.00079572201, -8.48515201972e-16, 0.0125686209649, 1.18266763502e-15, 188.491333008, 188.491333008, 188.484725952, 188.484725952, 6.26304340363, 6.26304340363, 6.26304340363, 6.26304340363,          -0.5,          -0.5,          -0.5,          -0.5, -0.00018439698033, 0.00018439698033, 8.33140659332, -1.82684575362e-17, -0.00626403139904, -6.86954556289e-18, -0.044484347105, 9.25455459589e-18
         0.03, -0.00575437583029, -1.82638130825e-16, 1.00071895123, -1.2272684725e-15, 0.012615843676, 1.62105980715e-15, 188.492263794, 188.492263794, 188.484420776, 188.484420776, 7.24636745453, 7.24636745453, 7.24636745453, 7.24636745453,          -0.5,          -0.5,          -0.5,          -0.5, -0.000206812022952, 0.000206812022952, 8.33107376099, -2.6210317859e-17, -0.00621761614457, -1.18581841561e-17, -0.044421095401, 1.62669666583e-17
        0.035, -0.00528553500772, -1.76733874431e-16, 1.00062942505, -1.80362664162e-15, 0.012070460245, 2.05067904728e-15,  188.49281311,  188.49281311, 188.483947754, 188.483947754, 8.10297203064, 8.10297203064, 8.10297203064, 8.10297203064,          -0.5,          -0.5,          -0.5,          -0.5, -0.000227250158787, 0.000227250158787, 8.33076477051, -3.60379134047e-17, -0.00617549801245, -1.93077835061e-17, -0.0443591475487, 2.53807797817e-17
         0.04, -0.00487682176754, -1.79181177609e-16, 1.00053417683, -2.44083258718e-15, 0.0110534736887, 2.56497394769e-15, 188.492965698, 188.492965698, 188.483276367, 188.483276367, 8.84338855743, 8.84338855743, 8.84338855743, 8.84338855743,          -0.5,          -0.5,          -0.5,          -0.5, -0.000245086819632, 0.000245086819632, 8.33047866821, -4.55540572519e-17, -0.00613850913942, -2.98385619818e-17, -0.0443011559546, 3.69798041159e-17
        0.045, -0.00452325120568, -1.84457504656e-16, 1.00043857098, -3.05533190877e-15, 0.00966848246753, 3.0845867327e-15, 188.492721558, 188.492721558,  188.48236084,  188.48236084, 9.47896385193, 9.47896385193, 9.47896385193, 9.47896385193,          -0.5,          -0.5,          -0.5,          -0.5, -0.000259965192527, 0.000259965192527, 8.33020973206, -5.69332335229e-17, -0.00610709981993, -4.36832724913e-17, -0.0442492105067, 5.10915947016e-17
