Time,AxG_S1,AyG_S1,AzG_S1,AVx_S1,AVy_S1,AVz_S1,AVy_L1,AVy_R1,AVy_L2,AVy_R2,My_Dr_L1,My_Dr_R1,My_Dr_L2,My_Dr_R2,My_Bk_L1,My_Bk_R1,My_Bk_L2,My_Bk_R2,StrK_L1,StrK_R1,sv_vx,sv_vy,sv_vz,Roll_E,Pitch,Yaw
            0, 0.000326787587255, -0.000136899965582, 0.999602615833,             0,             0,             0, 62.8574028015, 62.8574028015, 62.8574028015, 62.8574028015,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, -9.87841267488e-05, 9.87841267488e-05, 2.77777695656,             0, -0.00216607772745,             0, -0.0446785651147,             0
        0.005, -0.00265187537298, -0.000154403343913, 0.999775111675, 0.000354881427484, 0.00177703774534, -0.000147507045767, 62.7749595642, 62.7717399597, 62.7593460083, 62.7593040466, 0.115279316902, 0.115279316902, 0.115279316902, 0.115279316902,          -0.5,          -0.5,          -0.5,          -0.5, -7.65126023907e-05, 0.000131686145323, 2.77770400047, -7.12295104677e-06, -0.00218094047159, 4.3571731112e-07, -0.0446748398244, -4.00423857627e-07
         0.01, -0.00713936705142, -0.000175487468368, 0.99987578392, 0.00171670690179, 0.00592893362045, -0.000206352997338, 62.7742538452, 62.7678108215,  62.763256073, 62.7630500793, 0.457884937525, 0.457884937525, 0.457884937525, 0.457884937525,          -0.5,          -0.5,          -0.5,          -0.5, 1.72253453457e-06, 0.000239824454184,  2.7774169445, -1.51463063958e-05, -0.00218825088814, 5.18621254741e-06, -0.0446566529572, -1.32559580379e-06
        0.015, -0.00700666615739, -0.000201776216272, 0.999892771244, 0.00403427612036, 0.0112014161423, -0.000173716704012, 62.8289222717, 62.8194885254, 62.8302536011, 62.8298721313, 1.03116428852, 1.03116428852, 1.03116428852, 1.03116428852,          -0.5,          -0.5,          -0.5,          -0.5, 0.000137633353006, 0.000421831617132, 2.77699971199, -2.43351914833e-05, -0.00219144136645, 1.91570688912e-05, -0.0446135662496, -2.31401713791e-06
         0.02, -0.00407873652875, -0.000233829501667, 0.999863922596, 0.00725956168026, 0.01436958462, -5.67249844607e-05, 62.8470001221, 62.8356285095, 62.8473548889, 62.8469009399, 1.66225731373, 1.66225731373, 1.66225731373, 1.66225731373,          -0.5,          -0.5,          -0.5,          -0.5, 0.000331841263687, 0.000671943707857, 2.77670025826, -3.49847286998e-05, -0.00219423370436, 4.70067679998e-05, -0.0445487163961, -2.9303635074e-06
        0.025, -0.0022485377267, -0.000273458106676, 0.999822556973, 0.0113239074126, 0.0158759504557, 0.000158609254868, 62.8307342529, 62.8177375793, 62.8208427429, 62.8203392029, 2.21730351448, 2.21730351448, 2.21730351448, 2.21730351448,          -0.5,          -0.5,          -0.5,          -0.5, 0.00058384006843, 0.000983503647149, 2.77650952339, -4.74486769235e-05, -0.00219815061428, 9.31175673031e-05, -0.044472578913, -2.71980593425e-06
         0.03, -0.00267222407274, -0.000328891124809, 0.999779760838, 0.0161391403526, 0.0167438797653, 0.000460991461296, 62.8013801575, 62.7864952087, 62.7826080322, 62.7820701599, 2.67056083679, 2.67056083679, 2.67056083679, 2.67056083679,          -0.5,          -0.5,          -0.5,          -0.5, 0.000894071650691, 0.0013542707311, 2.77636146545, -6.23247760814e-05, -0.00220393878408, 0.000161461401149, -0.0443911775947, -1.19868536785e-06
        0.035, -0.0039956974797, -0.000400274177082, 0.999728083611, 0.021655689925, 0.0182808134705, 0.00080498639727, 62.7940368652, 62.7770805359, 62.7774353027, 62.7768630981,  3.0526599884,  3.0526599884,  3.0526599884,  3.0526599884,          -0.5,          -0.5,          -0.5,          -0.5, 0.00125713564921, 0.0017791459104, 2.77615857124, -8.0472418631e-05, -0.00221170554869, 0.000255641236436, -0.0443039573729, 1.95712573259e-06
         0.04, -0.00411236239597, -0.000484815362142, 0.999662160873, 0.0278823655099, 0.0202434081584, 0.00115481344983, 62.8061828613, 62.7870979309, 62.7966270447,  62.796005249,   3.399725914,   3.399725914,   3.399725914,   3.399725914,          -0.5,          -0.5,          -0.5,          -0.5, 0.00165934232064, 0.00224548461847, 2.77591276169, -0.000102632075141, -0.00222190702334, 0.000379164033802, -0.0442076250911, 6.86086423229e-06
        0.045, -0.00267506274395, -0.000580588704906, 0.999589145184, 0.034863550216, 0.0214688759297, 0.00148562632967, 62.8094329834, 62.7883300781, 62.7953872681, 62.7946510315, 3.71644830704, 3.71644830704, 3.71644830704, 3.71644830704,          -0.5,          -0.5,          -0.5,          -0.5, 0.00208191759884, 0.00273417541757, 2.77571034431, -0.000129421547172, -0.00223521050066, 0.000535681901965, -0.0441028550267, 1.34735091706e-05
