Time,AxG_S1,AyG_S1,AzG_S1,AVx_S1,AVy_S1,AVz_S1,AVy_L1,AVy_R1,AVy_L2,AVy_R2,My_Dr_L1,My_Dr_R1,My_Dr_L2,My_Dr_R2,My_Bk_L1,My_Bk_R1,My_Bk_L2,My_Bk_R2,StrK_L1,StrK_R1,sv_vx,sv_vy,sv_vz,Roll_E,Pitch,Yaw
            0, -0.0110649447888, -1.64824608563e-18, 1.00287914276,             0,             0,             0, 314.287017822, 314.287017822, 314.287017822, 314.287017822,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, -9.87841267488e-05, 9.87841267488e-05, 13.8888845444,             0, -0.0108303884044,             0, -0.0446785651147,             0
        0.025, -0.0118825305253, 0.000130400454509, 1.00251948833, 0.00174688221887, 0.012440145947, 0.000474258733448,  314.19519043, 314.204864502, 314.181488037, 314.181518555, 12.0579767227, 12.0579767227, 12.0579767227, 12.0579767227,          -0.5,          -0.5,          -0.5,          -0.5, 0.00466318614781, 0.00501732900739, 13.8854150772, 8.57702798385e-06, -0.0101008946076, 1.42773269545e-05, -0.0444527044892, 1.72182524238e-06
         0.05, -0.00813274737448, 0.000413801986724, 1.00148522854, 0.00688006682321, -0.00321902241558, 0.00468875374645, 314.243377686, 314.248291016, 314.213470459,  314.21496582, 18.5218009949, 18.5218009949, 18.5218009949, 18.5218009949,          -0.5,          -0.5,          -0.5,          -0.5, 0.00851873867214, 0.00896247196943, 13.8828172684, 6.4068386564e-05, -0.00956102088094, 0.000116925977636, -0.0443030484021, 5.72482786083e-05
        0.075, -0.00632229587063, 0.000415202899603, 1.00037312508, 0.0117323677987, -0.0238141827285, 0.0110761709511, 314.253967285,  314.25491333, 314.214111328, 314.218536377, 21.2811431885, 21.2811431885, 21.2811431885, 21.2811431885,          -0.5,          -0.5,          -0.5,          -0.5, 0.00662350188941, 0.00684441113845, 13.8808860779, 0.000123341567814, -0.00942386500537, 0.000355363736162, -0.0446489080787, 0.000254984683124
          0.1, -0.00561745930463, 0.000267658033408, 0.999613285065, 0.0130835929886, -0.0358375348151, 0.0155486864969, 314.233062744, 314.239837646,   314.1925354, 314.199279785, 22.1420440674, 22.1420440674, 22.1420440674, 22.1420440674,          -0.5,          -0.5,          -0.5,          -0.5, 0.00512479804456, 0.00483528990299, 13.8792457581, 0.000121886820125, -0.00962015148252, 0.00067237165058, -0.0454197153449, 0.000593573902734
        0.125, -0.00545184034854, 0.000266104441835, 0.999254345894, 0.0125084919855, -0.0359096936882, 0.0180432815105, 314.197387695, 314.209381104, 314.157897949,  314.16595459, 22.1627731323, 22.1627731323, 22.1627731323, 22.1627731323,          -0.5,          -0.5,          -0.5,          -0.5, 0.00655330577865, 0.00555191328749,  13.877699852, 7.77099994593e-05, -0.00998959131539, 0.000992765533738, -0.0463390760124, 0.00101538572926
         0.15, -0.00552238291129, 0.000365743035218, 0.999230623245, 0.0123233329505, -0.0281684752554, 0.02037098445, 314.157714844, 314.169158936, 314.116851807, 314.126068115, 21.8970985413, 21.8970985413, 21.8970985413, 21.8970985413,          -0.5,          -0.5,          -0.5,          -0.5, 0.00776834087446, 0.00599246285856, 13.8761568069, 3.39839607477e-05, -0.010377026163, 0.00130121340044, -0.047149643302, 0.00149504817091
        0.175, -0.00566462660208, 0.000407328247093, 0.999393641949, 0.0124212997034, -0.0188801288605, 0.0225279293954, 314.116699219, 314.127044678, 314.074188232, 314.084564209, 21.6104679108, 21.6104679108, 21.6104679108, 21.6104679108,          -0.5,          -0.5,          -0.5,          -0.5, 0.00729646906257, 0.00480563612655, 13.8745822906, -5.9783492361e-06, -0.0106896022335, 0.00161063089035, -0.0477352924645, 0.00203276542015
          0.2, -0.00578993558884, 0.000398581672926, 0.999597787857, 0.0119621045887, -0.0123676173389, 0.0235738828778, 314.075592041, 314.087188721, 314.032836914, 314.043884277, 21.4131774902, 21.4131774902, 21.4131774902, 21.4131774902,          -0.5,          -0.5,          -0.5,          -0.5, 0.00665615964681, 0.00357107655145, 13.8729724884, -5.49073447473e-05, -0.0109054120257, 0.00191631552298, -0.0481177344918, 0.00261178868823
        0.225, -0.00585689488798, 0.00041406188393, 0.999752283096, 0.0111086219549, -0.00982587132603, 0.0235296133906, 314.036651611, 314.049255371, 313.993804932, 314.004943848, 21.3363952637, 21.3363952637, 21.3363952637, 21.3363952637,          -0.5,          -0.5,          -0.5,          -0.5, 0.00666231662035, 0.00310356123373,  13.871336937, -0.00010789600492, -0.011048765853, 0.00220440048724, -0.0483874082565, 0.00320218969136
         0.25, -0.0058551481925, 0.000448073929874, 0.999829530716, 0.0103097660467, -0.0102167064324, 0.0229804310948, 314.000518799, 314.012451172, 313.956878662, 313.967803955, 21.3743095398, 21.3743095398, 21.3743095398, 21.3743095398,          -0.5,          -0.5,          -0.5,          -0.5, 0.00660140812397, 0.00265441345982, 13.8696918488, -0.000153061497258, -0.0111580258235, 0.00247142510489, -0.0486336648464, 0.00378422695212
