Time,AxG_S1,AyG_S1,AzG_S1,AVx_S1,AVy_S1,AVz_S1,AVy_L1,AVy_R1,AVy_L2,AVy_R2,My_Dr_L1,My_Dr_R1,My_Dr_L2,My_Dr_R2,My_Bk_L1,My_Bk_R1,My_Bk_L2,My_Bk_R2,StrK_L1,StrK_R1,sv_vx,sv_vy,sv_vz,Roll_E,Pitch,Yaw
            0, 0.000326993176714, -1.68903384465e-18, 0.999602615833,             0,             0,             0, 62.8574028015, 62.8574028015, 62.8574028015, 62.8574028015,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, -9.87841267488e-05, 9.87841267488e-05, 2.77777695656,             0, -0.00216607772745,             0, -0.0446785651147,             0
        0.005, -0.00265203043818, -4.75244709542e-18, 0.999804496765, -2.99408217715e-18, 0.00173041841481, 2.00005505778e-17, 62.7733192444, 62.7733192444, 62.7593345642, 62.7593345642, 0.115204460919, 0.115204460919, 0.115204460919, 0.115204460919,          -0.5,          -0.5,          -0.5,          -0.5, -0.000103957267129, 0.000103957267129, 2.77770400047, -8.63886170624e-20, -0.00218020635657, 7.98754421556e-20, -0.0446749143302, 4.84302164058e-20
         0.01, -0.0071400240995, -1.5105727501e-17, 0.999925792217, -1.10256940779e-18, 0.00575970718637, 4.59556600567e-17, 62.7709312439, 62.7709312439, 62.7631874084, 62.7631874084, 0.457805395126, 0.457805395126, 0.457805395126, 0.457805395126,          -0.5,          -0.5,          -0.5,          -0.5, -0.000118022820971, 0.000118022820971,  2.7774169445, -8.21614617609e-19, -0.00218555983156, 7.11204526924e-20, -0.0446572452784, 1.99511168685e-19
        0.015, -0.00700767105445, -1.92645772157e-16, 0.999960482121, -1.61934858884e-16, 0.0108565827832, 1.71914429015e-16,  62.824016571,  62.824016571, 62.8301467896, 62.8301467896, 1.03112232685, 1.03112232685, 1.03112232685, 1.03112232685,          -0.5,          -0.5,          -0.5,          -0.5, -0.00013899152691, 0.00013899152691, 2.77699947357, -1.35452169474e-18, -0.00218593794852, -2.70874276103e-19, -0.0446154214442, 7.58408247739e-19
         0.02, -0.00407930556685, -2.70730407681e-17, 0.999953627586, -1.57726521269e-16, 0.0137905403972, 3.36468327006e-16, 62.8410263062, 62.8410263062, 62.8472938538, 62.8472938538, 1.66227829456, 1.66227829456, 1.66227829456, 1.66227829456,          -0.5,          -0.5,          -0.5,          -0.5, -0.000163385950145, 0.000163385950145, 2.77670025826, -4.48591130408e-18, -0.00218498287722, -1.20834223349e-18, -0.0445528514683, 1.85944059886e-18
        0.025, -0.00224834494293, -3.03993738935e-17, 0.999931931496, -1.86190467891e-16, 0.0150008788332, 3.38083539427e-16, 62.8238487244, 62.8238487244, 62.8208389282, 62.8208389282, 2.21738839149, 2.21738839149, 2.21738839149, 2.21738839149,          -0.5,          -0.5,          -0.5,          -0.5, -0.000187902798643, 0.000187902798643, 2.77650928497, -7.16141293331e-18, -0.00218417635188, -2.16045265774e-18, -0.0444803237915, 3.70192689029e-18
         0.03, -0.00267184269615, -4.87352185255e-17, 0.999905467033, -2.94638875455e-16, 0.015522309579, 1.6459668639e-16, 62.7934684753, 62.7934684753, 62.7826805115, 62.7826805115, 2.67069411278, 2.67069411278, 2.67069411278, 2.67069411278,          -0.5,          -0.5,          -0.5,          -0.5, -0.000211126811337, 0.000211126811337, 2.77636146545, -9.22962337222e-18, -0.00218444038182, -3.33255579841e-18, -0.0444041416049, 4.87418947002e-18
        0.035, -0.00399516755715, -6.90498280752e-17, 0.999870121479, -4.04898980614e-16, 0.0166697148234, 3.23195108964e-16, 62.7850379944, 62.7850379944, 62.7776031494, 62.7776031494,  3.0528280735,  3.0528280735,  3.0528280735,  3.0528280735,          -0.5,          -0.5,          -0.5,          -0.5, -0.000233291633776, 0.000233291633776, 2.77615857124, -1.12486264909e-17, -0.002185997786, -5.06853969084e-18, -0.0443239845335, 5.95040645446e-18
         0.04, -0.00411186693236, -6.77525706467e-17, 0.99982625246, -6.47610421829e-16, 0.0181915890425, 6.47215280959e-16, 62.7961044312, 62.7961044312, 62.7969055176, 62.7969055176, 3.39991879463, 3.39991879463, 3.39991879463, 3.39991879463,          -0.5,          -0.5,          -0.5,          -0.5, -0.000255099846981, 0.000255099846981, 2.77591276169, -1.5973089239e-17, -0.00218916893937, -7.65633246459e-18, -0.0442367829382, 8.4644688979e-18
        0.045, -0.00267436006106, -7.58803877886e-17, 0.999783873558, -7.72194092353e-16, 0.0189033765346, 9.04248540534e-16, 62.7983474731, 62.7983474731, 62.7957649231, 62.7957649231, 3.71666121483, 3.71666121483, 3.71666121483, 3.71666121483,          -0.5,          -0.5,          -0.5,          -0.5, -0.000276516831946, 0.000276516831946, 2.77571034431, -1.86335320452e-17, -0.00219426560216, -1.11147547533e-17, -0.0441435202956, 1.25865398465e-17
