Time,AxG_S1,AyG_S1,AzG_S1,AVx_S1,AVy_S1,AVz_S1,AVy_L1,AVy_R1,AVy_L2,AVy_R2,My_Dr_L1,My_Dr_R1,My_Dr_L2,My_Dr_R2,My_Bk_L1,My_Bk_R1,My_Bk_L2,My_Bk_R2,StrK_L1,StrK_R1,sv_vx,sv_vy,sv_vz,Roll_E,Pitch,Yaw
            0, -0.000702404533513, -0.0133275045082, 1.00639653206,             0,             0,             0, 62.8574028015, 62.8574028015, 62.8574028015, 62.8574028015,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, -9.87841267488e-05, 9.87841267488e-05, 2.77777695656,             0, -0.00216605840251, -0.242591053247, -0.043325830251,             0
        0.005, -0.00413709692657, -0.0102260503918,  1.0276453495, 0.0437061823905, 0.0366557464004, -0.0507119111717,  62.966796875,  62.617023468, 62.6779289246, 62.6605491638,   1.926612854,   1.926612854,   1.926612854,   1.926612854,          -0.5,          -0.5,          -0.5,          -0.5, 1.71779083757e-05, 0.000419633928686, 2.77764749527, -0.000353460462065, -0.0013820764143, -0.242521390319, -0.043243765831, -0.000132010129164
         0.01, -0.00854013953358, -0.00836324691772, 1.04339742661, 0.152355909348, 0.0773260593414, -0.0889867246151, 63.1448822021, 62.4870376587, 62.6723480225,  62.616065979, 5.52809095383, 5.52809095383, 5.52809095383, 5.52809095383,          -0.5,          -0.5,          -0.5,          -0.5, 0.000370081339497, 0.00123549206182, 2.77728390694, -0.000580942374654, 0.000429505045759, -0.242051661015, -0.0429612882435, -0.000487260578666
        0.015, -0.00710770860314, -0.00714315520599, 1.05004358292, 0.296497195959, 0.11776355654, -0.118215687573, 63.3434829712, 62.4527664185, 62.7661323547, 62.6658058167, 10.5884170532, 10.5884170532, 10.5884170532, 10.5884170532,          -0.5,          -0.5,          -0.5,          -0.5, 0.000858427316416, 0.0022553303279, 2.77684164047, -0.000726827711333, 0.00277491356246, -0.240940570831, -0.0424733608961, -0.00101048708893
         0.02, -0.00214404775761, -0.00651848455891, 1.05068767071, 0.459239512682, 0.148541241884, -0.141298606992, 63.4420547485, 62.4609222412,    62.8268013, 62.7008209229, 15.5938425064, 15.5938425064, 15.5938425064, 15.5938425064,          -0.5,          -0.5,          -0.5,          -0.5, 0.00133390305564, 0.00332155800425, 2.77657198906, -0.000821867259219, 0.00529874349013, -0.23905569315, -0.0418045111001, -0.00166432163678
        0.025, 0.00149496470112, -0.00658720126376, 1.04751968384, 0.626618981361, 0.164381504059, -0.159953683615, 63.4102020264, 62.4699745178, 62.8108100891,    62.6796875, 19.3861637115, 19.3861637115, 19.3861637115, 19.3861637115,          -0.5,          -0.5,          -0.5,          -0.5, 0.00169393280521, 0.00441201915964, 2.77653670311, -0.000899688224308, 0.00775638455525, -0.236339867115, -0.0410184562206, -0.00242238375358
         0.03, 0.000374454364646, -0.00738880597055, 1.04242634773, 0.78744328022, 0.164746776223, -0.175326034427, 63.3215866089, 62.4910469055, 62.7840003967, 62.6503448486, 21.7570514679, 21.7570514679, 21.7570514679, 21.7570514679,          -0.5,          -0.5,          -0.5,          -0.5, 0.00208570947871, 0.00581802846864,  2.7765724659, -0.000997167197056, 0.0100066615269, -0.232799142599, -0.0401924401522, -0.00326520390809
        0.035, -0.00361309759319, -0.00891466997564, 1.03697443008, 0.932012796402, 0.149636641145, -0.188541457057, 63.2788772583, 62.5760993958,  62.839012146, 62.6900367737, 23.3222465515, 23.3222465515, 23.3222465515, 23.3222465515,          -0.5,          -0.5,          -0.5,          -0.5, 0.00288123474456, 0.00807936489582, 2.77644705772, -0.00115205952898, 0.0119925541803, -0.228490918875, -0.0394029840827, -0.00417859805748
         0.04, -0.00441169086844, -0.011084491387, 1.03157317638, 1.05357396603, 0.115103371441, -0.20143738389, 63.2690849304, 62.7162284851, 62.9197731018, 62.7589759827, 24.7454338074, 24.7454338074, 24.7454338074, 24.7454338074,          -0.5,          -0.5,          -0.5,          -0.5, 0.00440495368093, 0.0116541301832, 2.77620887756, -0.001396666863, 0.0136960670352, -0.223514720798, -0.0387346185744, -0.00515609746799
        0.045, -0.00436059292406, -0.0141059812158, 1.03236532211, 1.13975679874, 0.0463185608387, -0.216220125556, 63.2490158081, 62.8400421143, 62.9720878601, 62.8090667725, 26.1564788818, 26.1564788818, 26.1564788818, 26.1564788818,          -0.5,          -0.5,          -0.5,          -0.5, 0.00681605003774, 0.0167134478688, 2.77596020699, -0.00177218485624, 0.0152752147987, -0.218011692166, -0.0383160486817, -0.00620032800362
