Time,AxG_S1,AyG_S1,AzG_S1,AVx_S1,AVy_S1,AVz_S1,AVy_L1,AVy_R1,AVy_L2,AVy_R2,My_Dr_L1,My_Dr_R1,My_Dr_L2,My_Dr_R2,My_Bk_L1,My_Bk_R1,My_Bk_L2,My_Bk_R2,StrK_L1,StrK_R1,sv_vx,sv_vy,sv_vz,Roll_E,Pitch,Yaw
            0, -0.00157498999033, 3.13438669149e-18, 0.999656260014,             0,             0,             0, 62.8574028015, 62.8574028015, 62.8574028015, 62.8574028015,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, -9.87841267488e-05, 9.87841267488e-05, 2.77777695656,             0, -0.00216607772745,             0, -0.0448669977486,           180
        0.005, -0.00447095930576, 3.28354651344e-16, 1.00069224834, 8.49904727759e-15, 0.00133538921364, -2.74035995447e-15, 62.7885894775, 62.7885894775, 62.7712898254, 62.7712898254, 2.82192993164, 2.82192993164, 2.82192993164, 2.82192993164,          -0.5,          -0.5,          -0.5,          -0.5, -0.000122123921756, 0.000122123921756, 2.77760910988, -5.86423871918e-17, -0.00215946952812, 1.18606210301e-17, -0.0448627434671,           180
         0.01, -0.00762399891391, -2.07953856094e-14, 1.00203967094, 2.10596192313e-14, 6.98174335412e-05, -9.87234052442e-16, 62.8235054016, 62.8235054016, 62.8055114746, 62.8055114746, 6.84835577011, 6.84835577011, 6.84835577011, 6.84835577011,          -0.5,          -0.5,          -0.5,          -0.5, -0.00020870276785, 0.00020870276785,  2.7772591114, -9.06452970249e-18, -0.0020930278115, 7.2488424499e-17, -0.0448576286435,           180
        0.015, -0.00528172357008, 6.53444784769e-16, 1.00348365307, 3.40322930427e-14, -0.00719004124403, -1.19009196351e-14, 62.9146270752, 62.9146270752, 62.8969268799, 62.8969268799, 11.7565813065, 11.7565813065, 11.7565813065, 11.7565813065,          -0.5,          -0.5,          -0.5,          -0.5, -0.000370706024114, 0.000370706024114, 2.77688503265, -2.47526108836e-16, -0.00195842655376, 1.9495369871e-16, -0.0448718108237,           180
         0.02, 0.000297048187349, -1.81566657969e-15, 1.00490319729, 4.07941706131e-14, -0.0236952677369, 1.21321443831e-14, 62.9732437134, 62.9732437134, 62.9444541931, 62.9444541931, 16.1684265137, 16.1684265137, 16.1684265137, 16.1684265137,          -0.5,          -0.5,          -0.5,          -0.5, -0.000607880181633, 0.000607880181633, 2.77671861649, 1.79393637295e-16, -0.00175602384843, 4.01354041851e-16, -0.0449446886778,           180
        0.025, 0.00453455140814, -2.07550515945e-14, 1.00621664524, 1.14688167885e-14, -0.0492823012173, -1.07520837665e-15, 62.9624786377, 62.9624786377, 62.9162139893, 62.9162139893, 19.0513973236, 19.0513973236, 19.0513973236, 19.0513973236,          -0.5,          -0.5,          -0.5,          -0.5, -0.000911272654776, 0.000911272654776, 2.77681422234, -7.65864228374e-17, -0.00149146479089, 5.27279650792e-16, -0.045123744756,           180
         0.03, 0.00389344221912, 9.14463321126e-17, 1.00735986233, 1.1458341532e-14, -0.0803945437074, -3.67623098778e-15, 62.9239349365, 62.9239349365, 62.8700218201, 62.8700218201, 20.2676944733, 20.2676944733, 20.2676944733, 20.2676944733,          -0.5,          -0.5,          -0.5,          -0.5, -0.00126762641594, 0.00126762641594, 2.77700972557, -1.35271770481e-16, -0.00117341510486, 5.87539268726e-16, -0.045446574688,           180
        0.035, 0.00122737791389, 4.08253651425e-14, 1.00826489925, 1.15000824686e-14, -0.112833023071, -7.07707872657e-17, 62.9347877502, 62.9347877502, 62.8795776367, 62.8795776367, 20.4677429199, 20.4677429199, 20.4677429199, 20.4677429199,          -0.5,          -0.5,          -0.5,          -0.5, -0.00166258623358, 0.00166258623358, 2.77708983421, -7.19410890138e-17, -0.00081257999409, 6.5743796278e-16, -0.0459293276072,           180
         0.04, 0.00118886225391, 5.93712815422e-16, 1.00890147686, -1.08507385409e-14, -0.14606551826, 3.94997213106e-15, 62.9712715149, 62.9712715149, 62.9191703796, 62.9191703796, 20.2841968536, 20.2841968536, 20.2841968536, 20.2841968536,          -0.5,          -0.5,          -0.5,          -0.5, -0.00208080862649, 0.00208080862649, 2.77709698677, -1.6294956465e-16, -0.000421941746026, 6.68605245157e-16, -0.0465760156512,           180
        0.045, 0.00233381055295, 5.98717986047e-16,  1.0092830658, -1.76584617696e-14, -0.180443197489, 8.88312886181e-16, 62.9861335754, 62.9861335754, 62.9374923706, 62.9374923706, 19.8643093109, 19.8643093109, 19.8643093109, 19.8643093109,          -0.5,          -0.5,          -0.5,          -0.5, -0.00250610825606, 0.00250610825606, 2.77714323997, -1.72953314924e-16, -1.43832248796e-05, 6.26860338082e-16, -0.0473919324577,           180
         0.05, 0.0025843817275, 1.060322302e-15,  1.0094025135, -1.59118506098e-15, -0.214961543679, -4.85908285247e-15, 62.9791870117, 62.9791870117, 62.9285316467, 62.9285316467, 19.1848964691, 19.1848964691, 19.1848964691, 19.1848964691,          -0.5,          -0.5,          -0.5,          -0.5, -0.00292345252819, 0.00292345252819, 2.77723050117, -2.91159502336e-16, 0.000396603369154, 5.71515417067e-16, -0.0483807474375,           180
        0.055, 0.00100705772638, 2.05391208734e-14, 1.00934970379, 1.41938496818e-14, -0.247595280409, 1.03671860661e-14, 62.9789009094, 62.9789009094,  62.927570343,  62.927570343, 18.3172512054, 18.3172512054, 18.3172512054, 18.3172512054,          -0.5,          -0.5,          -0.5,          -0.5, -0.00332063855603, 0.00332063855603, 2.77727794647, -6.73313107217e-17, 0.000800974841695, 6.21656326473e-16, -0.0495383962989,           180
         0.06, 0.000593338452745, 8.26115892138e-16, 1.00913310051, 2.22143030154e-15, -0.27741470933, 2.41494598976e-15, 62.9901390076, 62.9901390076, 62.9434738159, 62.9434738159, 17.4296417236, 17.4296417236, 17.4296417236, 17.4296417236,          -0.5,          -0.5,          -0.5,          -0.5, -0.00368857220747, 0.00368857220747, 2.77726745605, -2.17890900935e-16, 0.00119109754451, 6.64454519018e-16, -0.0508520416915,           180
        0.065, 0.00074818986468, 2.59090808483e-16, 1.00878882408, 1.71626120705e-14, -0.304693371058, 7.35703425942e-15, 62.9929771423, 62.9929771423, 62.9491462708, 62.9491462708, 16.5803260803, 16.5803260803, 16.5803260803, 16.5803260803,          -0.5,          -0.5,          -0.5,          -0.5, -0.00402012467384, 0.00402012467384, 2.77725672722, -1.31795547266e-16, 0.00156036717817, 7.16281500445e-16, -0.0523084774613,           180
         0.07, 0.000325844273902, 1.34096988723e-16, 1.00835442543, 2.2849455753e-14, -0.328981101513, 1.05501468767e-14,  62.989982605,  62.989982605, 62.9478874207, 62.9478874207, 15.7692689896, 15.7692689896, 15.7692689896, 15.7692689896,          -0.5,          -0.5,          -0.5,          -0.5, -0.0043103848584, 0.0043103848584, 2.77724075317, -1.24329653285e-16, 0.00190414814278, 8.17344071876e-16, -0.053894136101,           180
        0.075, -0.00016083495575, 5.03236832343e-16,  1.0078523159, 1.60348283588e-14, -0.349766582251, 8.52384501415e-15, 62.9898300171, 62.9898300171, 62.9523849487, 62.9523849487,  15.025188446,  15.025188446,  15.025188446,  15.025188446,          -0.5,          -0.5,          -0.5,          -0.5, -0.00455692317337, 0.00455692317337, 2.77719593048, -1.90765398719e-16, 0.00221943249926, 9.33076142223e-16, -0.0555925369263,           180
         0.08, -0.000238115098909, 2.11716037632e-14, 1.00730335712, 3.37670734744e-14, -0.367217540741, 9.12482590166e-15, 62.9892234802, 62.9892234802, 62.9558410645, 62.9558410645, 14.3730010986, 14.3730010986, 14.3730010986, 14.3730010986,          -0.5,          -0.5,          -0.5,          -0.5, -0.00475914310664, 0.00475914310664, 2.77713727951, -2.13601314332e-16, 0.00250422209501, 1.05184583154e-15, -0.0573863908648,           180
        0.085, -0.000374761002604, -2.03444032454e-14, 1.00673007965, 4.73947595579e-14, -0.38150960207, 6.98753858255e-15,  62.985824585,  62.985824585, 62.9556007385, 62.9556007385, 13.8106555939, 13.8106555939, 13.8106555939, 13.8106555939,          -0.5,          -0.5,          -0.5,          -0.5, -0.00491775106639, 0.00491775106639, 2.77707314491, -3.00607149011e-16, 0.00275756977499, 1.24269971873e-15, -0.0592595860362,           180
         0.09, -0.000564136076719, 1.55022106534e-15, 1.00614798069, 8.64684910587e-14, -0.392707437277, -8.35922924305e-15, 62.9820632935, 62.9820632935, 62.9560508728, 62.9560508728, 13.3360137939, 13.3360137939, 13.3360137939, 13.3360137939,          -0.5,          -0.5,          -0.5,          -0.5, -0.00503462413326, 0.00503462413326, 2.77699828148, -6.46282274167e-16, 0.00297946273349, 1.55242885672e-15, -0.0611964464188,           180
        0.095, -0.000623375643045, 2.14090084636e-14, 1.00556731224, 1.44720295318e-13, -0.401056945324, -6.02609943621e-15, 62.9784584045, 62.9784584045, 62.9563407898, 62.9563407898, 12.9483652115, 12.9483652115, 12.9483652115, 12.9483652115,          -0.5,          -0.5,          -0.5,          -0.5, -0.00511244125664, 0.00511244125664, 2.77691555023, -6.87774606605e-16, 0.00317045114934, 2.12713075879e-15, -0.0631820335984,           180
          0.1, -0.000639132689685, 2.07231879091e-14, 1.00499665737, 1.8654011441e-13, -0.406860530376, -1.6430594339e-14, 62.9741516113, 62.9741516113, 62.9552230835, 62.9552230835, 12.6407527924, 12.6407527924, 12.6407527924, 12.6407527924,          -0.5,          -0.5,          -0.5,          -0.5, -0.00515430094674, 0.00515430094674, 2.77682995796, -7.81766835207e-16, 0.00333147775382, 2.94959022146e-15, -0.065202884376,           180
        0.105, -0.000650839996524, 2.10699953849e-14, 1.00438916683, 2.15179301244e-13, -0.410359829664, -2.39539206477e-14, 62.9694252014, 62.9694252014,  62.953868866,  62.953868866, 12.4044475555, 12.4044475555, 12.4044475555, 12.4044475555,          -0.5,          -0.5,          -0.5,          -0.5, -0.0051635154523, 0.0051635154523, 2.77674150467, -8.73975953576e-16, 0.00346355792135, 3.96560793575e-15, -0.0672469139099,           180
         0.11, -0.000609023903962, 3.78740990664e-14, 1.00369083881, 2.20968547821e-13, -0.411410450935, 1.22294966326e-15, 62.9649505615, 62.9649505615, 62.9523239136, 62.9523239136,  12.231212616,  12.231212616,  12.231212616,  12.231212616,          -0.5,          -0.5,          -0.5,          -0.5, -0.00514488294721, 0.00514488294721,  2.7766520977, -5.38278744189e-16, 0.00356143596582, 5.10952508399e-15, -0.0693023726344,           180
        0.115, -0.000536954845302, -7.50107814133e-15, 1.00310218334, 1.54174524709e-13, -0.410387963057, 2.87825251371e-14, 62.9605255127, 62.9605255127, 62.9501342773, 62.9501342773, 12.1118021011, 12.1118021011, 12.1118021011, 12.1118021011,          -0.5,          -0.5,          -0.5,          -0.5, -0.00510480487719, 0.00510480487719, 2.77656388283, -8.76846190892e-17, 0.00362808513455, 6.04983965214e-15, -0.0713576674461,           180
         0.12, -0.000454263063148, -5.12519053483e-15, 1.00256705284, 2.782515429e-14, -0.40771278739, 1.61024673277e-14, 62.9559707642, 62.9559707642, 62.9476547241, 62.9476547241, 12.0369777679, 12.0369777679, 12.0369777679, 12.0369777679,          -0.5,          -0.5,          -0.5,          -0.5, -0.00504734134302, 0.00504734134302, 2.77647781372, -3.07122049985e-16, 0.00366782117635, 6.48777008543e-15, -0.0734035745263,           180
        0.125, -0.000350850721588, -2.32598161109e-14, 1.00205397606, -4.07352916589e-14, -0.403646856546, 2.32241822819e-15, 62.9513282776, 62.9513282776, 62.9450798035, 62.9450798035, 11.9983320236, 11.9983320236, 11.9983320236, 11.9983320236,          -0.5,          -0.5,          -0.5,          -0.5, -0.00497485371307, 0.00497485371307, 2.77639436722, -5.861156181e-16, 0.00368278403766, 6.42693194399e-15, -0.0754325389862,           180
         0.13, -0.000227977739996, 2.88524859293e-16, 1.00154626369, -6.85872799527e-14, -0.398362666368, -1.31737441865e-14, 62.9465866089, 62.9465866089, 62.9422874451, 62.9422874451, 11.9879627228, 11.9879627228, 11.9879627228, 11.9879627228,          -0.5,          -0.5,          -0.5,          -0.5, -0.00488872081041, 0.00488872081041, 2.77631473541, -9.14898391659e-16, 0.00367391039617, 6.15026811353e-15, -0.0774380713701,           180
        0.135, -9.48443412199e-05, -2.04234619126e-14, 1.00103628635, -4.40339225586e-14, -0.391970306635, -1.17897203027e-14, 62.9417648315, 62.9417648315, 62.9393463135, 62.9393463135, 11.9984884262, 11.9984884262, 11.9984884262, 11.9984884262,          -0.5,          -0.5,          -0.5,          -0.5, -0.00478977104649, 0.00478977104649, 2.77623987198, -9.39624553938e-16, 0.00364152761176, 5.86497937008e-15, -0.0794143676758,           180
