Time,AxG_S1,AyG_S1,AzG_S1,AVx_S1,AVy_S1,AVz_S1,AVy_L1,AVy_R1,AVy_L2,AVy_R2,My_Dr_L1,My_Dr_R1,My_Dr_L2,My_Dr_R2,My_Bk_L1,My_Bk_R1,My_Bk_L2,My_Bk_R2,StrK_L1,StrK_R1,sv_vx,sv_vy,sv_vz,Roll_E,Pitch,Yaw
            0, 0.00947130005807, 0.0724423527718, 0.963676869869,             0,             0,             0, 94.2861022949, 94.2861022949, 94.2861022949, 94.2861022949,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, -9.87841267488e-05, 9.87841267488e-05, 4.16666555405,             0, -0.00323982466944, 4.06286001205, 1.04670548439, -31.4504776001
        0.005, 0.00690496293828, 0.0687523111701, 1.03901612759, 0.127858012915, 0.0123162921518, -0.00574779976159, 94.7669372559, 94.0530395508, 94.7045898438, 93.3117370605,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 0.000197568442672, 0.00274065439589, 4.16798448563, -8.40670963953e-06, -0.00295930774882, 4.06320142746, 1.04674375057, -31.4505138397
         0.01, 0.00174801133107, 0.0644718781114, 1.07793164253, 0.194454416633, 0.0125395338982, 0.0304879434407, 95.0037307739, 93.9711990356, 94.9595489502, 92.8439559937,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 0.0211064368486, 0.0292094219476, 4.16908979416, -0.000221104040975, 0.00017311683041, 4.06403493881, 1.04680788517, -31.450460434
        0.015, -0.000765099190176, 0.0607697181404, 1.09378814697, 0.213904738426, 0.00440580956638, 0.0930480286479,  94.954246521, 94.1192855835, 95.0539016724, 92.7616500854,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 0.0878726094961, 0.102734901011, 4.16999197006, -0.000650816189591, 0.00459845596924, 4.06507635117, 1.04682946205, -31.4501590729
         0.02, -0.00115589890629, 0.0581667385995, 1.09372794628, 0.210597708821, 0.00273078610189, 0.172844693065, 94.6247634888, 94.4689865112, 95.0168380737, 92.8108596802,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 0.217639014125, 0.238955229521,  4.1708445549, -0.00126434443519, 0.00938191823661, 4.06615495682, 1.04679393768, -31.4495010376
        0.025, -0.00248418492265, 0.0574165172875, 1.08117985725, 0.20674239099, 0.0229081921279, 0.261886447668, 94.1173324585, 94.9110107422,  94.876449585, 92.9999008179,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 0.419957101345, 0.446460574865, 4.17164993286, -0.0019952619914, 0.0138499848545, 4.06721353531, 1.04676926136, -31.4484157562
         0.03, -0.00359981087968, 0.0590359643102, 1.05841970444, 0.224150642753, 0.0713847205043, 0.354791373014, 93.5442810059, 95.3374481201, 94.6547088623, 93.3520355225,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 0.69749724865, 0.72745424509, 4.17239618301, -0.00274021807127, 0.0174678042531, 4.06830501556, 1.04688334465, -31.4468631744
        0.035, -0.00434969505295, 0.062982827425, 1.02663373947, 0.274961799383, 0.142553970218, 0.449688911438, 92.9764556885, 95.7285079956, 94.3703460693, 93.7905807495,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 1.04642784595, 1.07800769806, 4.17309331894, -0.00338420155458, 0.0197485666722, 4.06957483292, 1.04726374149, -31.4448184967
         0.04, -0.0037647546269, 0.0709737092257,  1.0031671524, 0.376169323921, 0.256066769361, 0.544223666191, 92.4558792114, 96.0861740112, 94.0929107666, 94.2163085938,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 1.45705330372, 1.48865616322, 4.17378807068, -0.00377408554778, 0.0206556282938, 4.07121419907,  1.0480568409, -31.4422702789
        0.045, -0.00390855409205, 0.0824790000916, 0.987575173378, 0.557162225246, 0.38806900382, 0.638598799706, 92.0002670288, 96.3596801758,  93.881439209, 94.5462188721,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 1.91551470757, 1.94586086273, 4.17450046539, -0.00372678274289, 0.020660340786, 4.07355690002, 1.04946291447, -31.4392089844
         0.05, -0.0037378591951, 0.095307983458, 0.983551681042, 0.819772899151, 0.514167547226, 0.749884843826, 91.5979385376, 96.5293273926, 93.7249908447, 94.8023986816,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5,  2.4055287838, 2.43325138092, 4.17521381378, -0.00311225815676, 0.0202542729676, 4.07704210281,   1.051461339, -31.4355964661
        0.055, -0.00427626632154, 0.110788665712, 0.973506569862, 1.13166773319, 0.654353797436, 0.891003608704, 91.2833175659, 96.5986633301, 93.6163711548, 95.0179138184,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 2.90961837769, 2.93333816528, 4.17592096329, -0.00185615953524, 0.0195745415986, 4.08197927475, 1.05407774448, -31.4313106537
         0.06, -0.00573869375512, 0.129061371088, 0.960407137871, 1.49229753017, 0.803636968136, 1.07207369804, 91.0827102661, 96.5954284668, 93.5487213135, 95.1746520996,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 3.41077589989, 3.42936229706,  4.1765794754, 0.000164333832799, 0.0183507222682, 4.08861207962, 1.05736279488, -31.4261760712
        0.065, -0.00729908840731, 0.149031147361, 0.948760330677, 1.90145134926, 0.956430852413, 1.30352723598, 90.9949188232, 96.5412216187, 93.5103149414, 95.2617874146,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 3.89393758774, 3.90664577484,  4.1771645546, 0.00305027351715, 0.0165700353682, 4.09719133377, 1.06132912636, -31.419960022
         0.07, -0.00907092634588, 0.169914245605, 0.939958095551, 2.35347557068, 1.10777056217, 1.59336102009, 90.9994888306, 96.4439544678, 93.4795150757, 95.2827911377,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 4.34739589691,   4.353910923, 4.17767477036, 0.00684025045484, 0.0143348807469, 4.10795211792, 1.06596183777, -31.4123935699
        0.075, -0.0111224558204, 0.18976841867, 0.934822499752, 2.83973741531, 1.25326526165,  1.9462249279, 91.0869750977, 96.3112258911, 93.4435806274, 95.2556152344,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 4.75149106979, 4.75190210342, 4.17809391022, 0.0115162627771, 0.0118115311489, 4.12109470367,  1.0712198019, -31.403169632
         0.08, -0.0134266894311, 0.206673666835, 0.932041466236, 3.34391665459, 1.38666510582, 2.36031484604, 91.2659835815, 96.1166381836, 93.3931045532, 95.2052993774,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.08074617386, 5.07547330856, 4.17841291428, 0.0169427189976, 0.00914149452001, 4.13676023483, 1.07703626156, -31.3919792175
        0.085, -0.0158149637282, 0.219602569938, 0.932148575783, 3.85018587112, 1.50168943405,  2.8278491497, 91.5326309204, 95.8597564697, 93.3226699829, 95.1523132324,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5,  5.3208360672, 5.31052064896,  4.1786236763, 0.0229278933257, 0.00646293722093, 4.15499973297, 1.08331120014, -31.3785381317
         0.09, -0.0180452186614, 0.227270513773, 0.935901522636, 4.34547138214,  1.5958275795, 3.33416676521, 91.8465270996, 95.5868301392, 93.2331008911, 95.1069564819,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5,  5.4681391716, 5.45352458954, 4.17873001099, 0.0292244236916, 0.0039060972631, 4.17579936981, 1.08992540836, -31.3626213074
        0.095, -0.0200710613281, 0.229914039373, 0.941200196743, 4.81167316437, 1.66927576065, 3.86217927933, 92.1499252319, 95.3819046021, 93.1248168945, 95.0799636841,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5,  5.5279917717, 5.50980901718, 4.17873811722, 0.0355648733675, 0.00162055331748, 4.19906282425, 1.09676277637, -31.344083786
          0.1, -0.0204187072814, 0.22741818428, 0.953747034073, 5.22422790527, 1.72557127476, 4.39704275131, 92.3870162964, 95.2689208984,  92.996963501, 95.0888824463,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.51221370697, 5.49107980728, 4.17869520187, 0.0416913740337, -0.000253156758845, 4.22459077835, 1.10371279716, -31.3228645325
        0.105, -0.0203719958663, 0.221073374152, 0.963022649288, 5.56946992874, 1.77685952187, 4.92383337021, 92.5271911621, 95.2368087769,  92.863319397, 95.1489257812,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.43729972839,  5.4136633873, 4.17865991592, 0.0473787225783, -0.00151409080718, 4.25206422806, 1.11072683334, -31.2989654541
         0.11, -0.0201812628657, 0.212074056268, 0.968976795673, 5.85096359253, 1.81508934498, 5.42772340775, 92.5662155151, 95.2956161499, 92.7304229736, 95.2429199219,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.32229042053, 5.29641246796, 4.17864179611, 0.0524707697332, -0.00239450274967,  4.2811589241, 1.11776196957, -31.2724742889
        0.115, -0.0198084414005, 0.200893655419, 0.972686707973, 6.06604909897, 1.83821737766, 5.89872026443, 92.5169906616, 95.4427947998, 92.6022567749, 95.3589401245,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.18668270111,  5.1586265564,   4.178647995, 0.0568580366671, -0.00302976905368, 4.31154727936,  1.1247535944, -31.2435302734
         0.12, -0.0192275661975, 0.189077526331, 0.974193990231, 6.21452903748, 1.84685885906, 6.33071470261, 92.3960952759, 95.6642303467, 92.4837112427, 95.4856262207,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5,  5.0487370491,  5.0183801651,  4.1786866188, 0.0604909360409, -0.00353204179555, 4.34289216995, 1.13163781166, -31.2123241425
        0.125, -0.0184378195554, 0.177647054195, 0.973757386208, 6.29851484299, 1.84337985516, 6.72083759308, 92.2210693359, 95.9377059937, 92.3771209717, 95.6150512695,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 4.92415809631, 4.89123296738, 4.17877006531, 0.0633683130145, -0.00401227176189, 4.37486076355, 1.13835990429, -31.179063797
         0.13, -0.0175735820085, 0.166606873274, 0.972273230553, 6.32258367538, 1.83034741879, 7.06906414032,  92.013961792,   96.23828125, 92.2833709717, 95.7407608032,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 4.82511091232, 4.78926134109, 4.17890357971, 0.0655336752534, -0.00454244809225, 4.40713834763, 1.14488005638, -31.1439609528
        0.135, -0.0165873784572, 0.156960785389, 0.970206141472, 6.29169797897, 1.81056523323, 7.37640237808, 91.7937240601, 96.5424499512, 92.2020874023, 95.8575210571,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 4.76011228561, 4.72094106674, 4.17909049988, 0.067041285336, -0.00516877183691,   4.439432621, 1.15117096901, -31.1072292328
         0.14, -0.0156624503434, 0.148910015821, 0.967651307583, 6.21317195892, 1.78561902046, 7.64540719986, 91.5680160522, 96.8361663818, 92.1301193237, 95.9611968994,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 4.73348140717, 4.69059801102, 4.17933320999, 0.0679798871279, -0.0059155896306, 4.47148275375, 1.15721774101, -31.069065094
        0.145, -0.0149558763951, 0.142776042223, 0.96568441391, 6.09481477737, 1.75737166405, 7.87975692749,   91.35105896, 97.1071853638, 92.0698471069, 96.0505981445,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 4.74535799026, 4.69840764999, 4.17962360382, 0.0684517845511, -0.00678314547986, 4.50306653976, 1.16301095486, -31.0296554565
         0.15, -0.0144597692415, 0.13829447329, 0.964302062988, 5.94322872162, 1.72864460945, 8.08363246918, 91.1615829468,   97.34349823, 92.0223770142, 96.1276550293,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 4.79209327698, 4.74078512192,  4.1799492836, 0.0685595497489, -0.00773931201547, 4.53399848938, 1.16855347157, -30.9891643524
        0.155, -0.0140411797911, 0.135348066688, 0.963561415672, 5.76433324814, 1.70130550861,  8.2601852417, 91.0159454346, 97.5318145752, 91.9843215942, 96.1939086914,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 4.86740016937, 4.81152534485, 4.18030405045, 0.0683861672878, -0.00875546317548, 4.56412506104,   1.173858881, -30.9477329254
         0.16, -0.0137856137007, 0.134179621935, 0.963467776775, 5.56493854523,  1.6761559248, 8.41283416748, 90.9189224243, 97.6691894531, 91.9512786865, 96.2508163452,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 4.96343421936, 4.90286445618, 4.18067979813, 0.0680266022682, -0.00979889184237, 4.59332275391, 1.17894613743, -30.9054908752
        0.165, -0.0136403208598, 0.134612575173, 0.96395355463, 5.35180902481, 1.65445554256, 8.54460716248, 90.8693389893, 97.7569732666, 91.9217681885, 96.2999420166,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.07142448425, 5.00609636307,  4.1810708046, 0.0675732046366, -0.0108351847157, 4.62150478363, 1.18383789062, -30.8625488281
         0.17, -0.0136018013582, 0.136402845383, 0.964637041092, 5.13010692596, 1.63670158386,  8.6580286026, 90.8610610962, 97.7973861694, 91.8955154419, 96.3425369263,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5,  5.1826133728, 5.11251020432, 4.18147039413, 0.0671064704657, -0.0118463039398, 4.64861392975, 1.18856108189, -30.8190002441
        0.175, -0.0136746848002, 0.139315336943, 0.965463519096, 4.90369558334,  1.6231251955, 8.75499534607, 90.8852844238, 97.7961273193, 91.8724441528,  96.379524231,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.28907632828, 5.21420097351, 4.18187379837, 0.0666945800185, -0.0128223421052, 4.67461585999, 1.19314324856, -30.7749328613
         0.18, -0.0138457305729, 0.143104583025, 0.966353714466, 4.67537689209, 1.61408567429, 8.83672237396, 90.9328079224, 97.7624435425, 91.8519744873,  96.411491394,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.38433361053, 5.30468034744, 4.18227529526, 0.0663933232427, -0.0137566896155, 4.69949245453, 1.19761276245, -30.730424881
        0.185, -0.0140824038535, 0.147533282638, 0.967241406441, 4.44691610336,  1.6099947691,  8.9038476944, 90.9949951172, 97.7063751221, 91.8330841064, 96.4387130737,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.46373939514, 5.37927055359,  4.1826710701, 0.0662462338805, -0.0146463457495,  4.7232375145, 1.20200002193, -30.6855449677
         0.19, -0.0143557172269, 0.152389377356, 0.968066930771, 4.21916532516, 1.61123180389, 8.95655155182, 91.0639572144, 97.6372451782,  91.815032959, 96.4611968994,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.52465057373, 5.43527841568, 4.18305826187, 0.0662856400013, -0.0154911959544, 4.74585199356, 1.20633709431, -30.6403656006
        0.195, -0.0146650867537, 0.157444506884, 0.968507349491, 3.99201440811, 1.61786437035, 8.99473285675, 91.1327819824, 97.5635528564,  91.797203064, 96.4788589478,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.56638097763, 5.47195911407, 4.18343496323, 0.0665336102247, -0.0162985343486, 4.76733732224, 1.21065783501, -30.5949554443
          0.2, -0.0149665810168, 0.162545368075, 0.968802154064, 3.76440787315, 1.62952327728, 9.01831912994,  91.195930481,  97.491859436, 91.7795944214, 96.4916687012,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5,  5.5899810791,  5.4903011322, 4.18380117416, 0.0670010820031, -0.0170840639621, 4.78769350052, 1.21499466896, -30.5493869781
        0.205, -0.0152525696903, 0.167675077915, 0.969058513641, 3.53606081009, 1.64651083946, 9.02704620361, 91.2492980957, 97.4268569946, 91.7636871338, 96.4995498657,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.59788990021, 5.49269199371, 4.18415737152, 0.0676967278123, -0.0178480166942, 4.80691480637,  1.2193801403, -30.5037307739
