Time,AxG_S1,AyG_S1,AzG_S1,AVx_S1,AVy_S1,AVz_S1,AVy_L1,AVy_R1,AVy_L2,AVy_R2,My_Dr_L1,My_Dr_R1,My_Dr_L2,My_Dr_R2,My_Bk_L1,My_Bk_R1,My_Bk_L2,My_Bk_R2,StrK_L1,StrK_R1,sv_vx,sv_vy,sv_vz,Roll_E,Pitch,Yaw
            0, 0.000796855776571, -1.68628853559e-18, 0.999469280243,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,           0.5,           0.5,           0.5,           0.5, -9.87841267488e-05, 9.87841267488e-05,             0,             0,             0,             0, -0.0446785651147,             0
        0.005, 0.014033857733, -5.34792738736e-19, 0.999535381794, -9.8575154957e-18, -0.0202845130116, 4.67743670311e-18, 0.811746358871, 0.811746358871, 0.808314681053, 0.808314681053, 185.969329834, 185.969329834, 185.969329834, 185.969329834,          -0.5,          -0.5,          -0.5,          -0.5, -0.000117707648315, 0.000117707648315, 0.000108469161205, -9.85310016068e-20, -1.83516422112e-05, 3.88173824863e-20, -0.0447021573782, 2.34411724955e-20
         0.01, 0.123911336064, -0.000100479112007, 0.998185515404, 4.11805413023e-05, -0.139301136136, 0.00264604762197, 2.83138537407, 2.72590041161, 2.74309110641,  2.6587433815, 385.234741211, 385.234741211, 385.234741211, 385.234741211,          -0.5,          -0.5,          -0.5,          -0.5, -0.000204004943953, 0.000268593343208, 0.0029639408458, -1.00342379028e-06, -7.0391666668e-05, 2.42524578198e-08, -0.0450411587954, 1.718114504e-06
        0.015, 0.250387281179, -0.00057805958204, 0.996911585331, 0.00120575609617, -0.408838838339, 0.0576250851154, 5.12377929688,   2.962931633, 4.61180830002, 2.64930009842, 553.395751953, 553.395751953, 553.395751953, 553.395751953,          -0.5,          -0.5,          -0.5,          -0.5, 0.00246466742828, 0.00338513660245, 0.012561539188, -1.77431611519e-05, -0.000195080705453, 2.03439230972e-06, -0.0463498272002, 0.000110033259261
         0.02, 0.261960566044, -0.000751681625843, 0.99648809433, 0.00457299919799, -0.761753499508, 0.185712248087, 8.99223995209, 2.31151986122, 7.76838779449, 1.18775486946, 658.936523438, 658.936523438, 658.936523438, 658.936523438,          -0.5,          -0.5,          -0.5,          -0.5, 0.0186197739094, 0.0201063957065, 0.0253116749227, -5.22391746927e-05, -0.000359241501428, 1.52522188728e-05, -0.0492610000074, 0.00070135621354
        0.025, 0.247928857803, -0.000497092900332, 0.996342718601, 0.00918891467154, -1.13321006298, 0.323642581701, 13.9570703506, 2.39808988571, 12.1372346878, 0.582632362843, 723.325683594, 723.325683594, 723.325683594, 723.325683594,          -0.5,          -0.5,          -0.5,          -0.5, 0.0510034188628, 0.0530785396695, 0.0378799252212, -8.53230594657e-05, -0.00053927663248, 4.80542003061e-05, -0.0539969243109, 0.00198145629838
         0.03, 0.231246247888, -0.000101929603261, 0.99643445015, 0.0149744851515, -1.49623227119, 0.438573151827,  19.518535614, 3.16262531281, 17.0269908905,  2.0309817791, 764.294921875, 764.294921875, 764.294921875, 764.294921875,          -0.5,          -0.5,          -0.5,          -0.5, 0.0944301486015, 0.0969804078341, 0.0494781397283, -0.000100999153801, -0.000721769523807, 0.000105944709503, -0.0605768412352, 0.00389639823698
        0.035, 0.248437717557, 3.14360986522e-05, 0.996481180191, 0.0223660636693, -1.85058045387, 0.552637338638, 25.4865589142, 4.36544132233, 22.2331924438,  3.7657430172, 791.446411133, 791.446411133, 791.446411133, 791.446411133,          -0.5,          -0.5,          -0.5,          -0.5, 0.142938926816, 0.145684987307, 0.0610798373818, -0.000104442777229, -0.000901686027646, 0.000195737840841, -0.0689451545477, 0.00636568246409
         0.04, 0.265289515257, 0.000108193395135, 0.994234383106, 0.0315719917417, -2.19405055046,  0.6893876791, 31.7337226868,  5.9006729126, 27.6157836914, 3.93940782547, 807.149414062, 807.149414062, 807.149414062, 807.149414062,          -0.5,          -0.5,          -0.5,          -0.5, 0.190970614552, 0.193460568786, 0.0737051442266, -0.00010559605289, -0.0011320814956, 0.000326208944898, -0.0790662243962, 0.0094629181549
        0.045, 0.265281289816, 0.000539157714229, 0.992170274258, 0.041822258383, -2.50716948509, 0.833039879799, 38.1465110779, 7.83840608597, 33.0500717163, 3.36807203293, 812.962890625, 812.962890625, 812.962890625, 812.962890625,          -0.5,          -0.5,          -0.5,          -0.5, 0.233267888427, 0.234967797995, 0.0866932347417, -9.73336573225e-05, -0.00149617344141, 0.00050360680325, -0.0908362567425, 0.013270017691
         0.05, 0.253268033266, 0.00165049580391, 0.992864370346, 0.0536505617201, -2.77990317345, 0.96713155508, 44.6284980774, 10.2301683426,  38.442073822, 2.92407894135, 811.614501953, 811.614501953, 811.614501953, 811.614501953,          -0.5,          -0.5,          -0.5,          -0.5, 0.265169739723, 0.265473484993, 0.0993803143501, -5.46597766515e-05, -0.00188078009523, 0.000733419670723, -0.104073338211, 0.0177776776254
