Time,AxG_S1,AyG_S1,AzG_S1,AVx_S1,AVy_S1,AVz_S1,AVy_L1,AVy_R1,AVy_L2,AVy_R2,My_Dr_L1,My_Dr_R1,My_Dr_L2,My_Dr_R2,My_Bk_L1,My_Bk_R1,My_Bk_L2,My_Bk_R2,StrK_L1,StrK_R1,sv_vx,sv_vy,sv_vz,Roll_E,Pitch,Yaw
            0, 0.000796855776571, -1.68628853559e-18, 0.999469280243,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,           0.5,           0.5,           0.5,           0.5, -9.87841267488e-05, 9.87841267488e-05,             0,             0,             0,             0, -0.0446785651147,             0
        0.005, 0.0233676992357, -1.32995921269e-19, 0.99937492609, -2.5900222323e-18, -0.0304177384824, 3.83737978355e-18, 1.09492373466, 1.09492373466, 1.08763587475, 1.08763587475, 217.066207886, 217.066207886, 217.066207886, 217.066207886,          -0.5,          -0.5,          -0.5,          -0.5, -0.000126623170217, 0.000126623170217, 0.000244276307058, -1.04193705597e-19, -1.99929017981e-05, 4.98591256775e-20, -0.0447223745286, 1.52978200874e-20
         0.01, 0.175137996674, -2.61021495182e-18, 0.99774903059, 2.55429154535e-17, -0.17431101203, 6.35022850488e-17, 2.89988160133, 2.89988160133, 2.81955122948, 2.81955122948, 413.372497559, 413.372497559, 413.372497559, 413.372497559,          -0.5,          -0.5,          -0.5,          -0.5, -0.000261825072812, 0.000261825072812, 0.00424268934876, 2.62732130538e-19, -8.51026561577e-05, -1.59349301048e-20, -0.0451637916267, -4.57849477368e-21
        0.015,  0.4263060987, 1.1990408977e-18, 0.995962500572, 6.66375377984e-17, -0.528227329254, 2.97494349252e-17, 1.95429289341, 1.95429289341, 1.80370020866, 1.80370020866, 590.998535156, 590.998535156, 590.998535156, 590.998535156,          -0.5,          -0.5,          -0.5,          -0.5, -0.000475623033708, 0.000475623033708, 0.0195308942348, -1.0090585007e-18, -0.000246674229857, 8.79473484538e-20, -0.0468203388155, 1.5557525073e-19
         0.02, 0.36599496007, -1.8589353983e-17, 0.99620705843, 1.19725301298e-16, -0.999832808971, 1.30051625542e-16, 0.478458255529, 0.478458255529, 0.239217057824, 0.239217057824, 751.721862793, 751.721862793, 751.721862793, 751.721862793,          -0.5,          -0.5,          -0.5,          -0.5, -0.000686984451022, 0.000686984451022, 0.0404732637107, -1.43619399291e-18, -0.000447716505732, 5.03760799562e-19, -0.0506432652473, 6.52426145346e-19
        0.025, 0.305898219347, -2.49571475027e-17, 0.995729446411, 1.78652099654e-16, -1.42911374569, 1.87728084154e-16, 2.99689984322, 2.99689984322,  2.9532687664,  2.9532687664, 897.150939941, 897.150939941, 897.150939941, 897.150939941,          -0.5,          -0.5,          -0.5,          -0.5, -0.000923681247514, 0.000923681247514, 0.0555193200707, -1.16690720565e-18, -0.000640659069177, 1.3689445193e-18, -0.0567180775106, 1.3985545867e-18
         0.03, 0.543586492538, -3.12067650371e-17, 0.993981540203, 7.644679475e-17, -1.9629983902, 1.34291951885e-16, 5.07966375351, 5.07966375351, 4.70571994781, 4.70571994781, 1028.74121094, 1028.74121094, 1028.74121094, 1028.74121094,          -0.5,          -0.5,          -0.5,          -0.5, -0.00114338728599, 0.00114338728599, 0.07582013309, -1.74613712086e-18, -0.000904936168808, 1.89641184993e-18, -0.065114736557, 2.16715054596e-18
        0.035, 0.611554861069, -5.88556475886e-17, 0.992948234081, -1.18101878282e-17, -2.62635183334, 7.38673014929e-17, 5.45653104782, 5.45653104782, 3.41117930412, 3.41117930412, 1147.80944824, 1147.80944824, 1147.80944824, 1147.80944824,          -0.5,          -0.5,          -0.5,          -0.5, -0.00116265343968, 0.00116265343968, 0.105061411858, -4.07076631184e-18, -0.00123454967979, 1.8539435701e-18, -0.0765717849135, 2.43635192682e-18
         0.04, 0.558186590672, 2.75679983497e-18, 0.990445613861, -4.41720369717e-17, -3.26851654053, 2.14632007845e-16, 6.80060815811, 6.80060815811, 4.11751270294, 4.11751270294, 1255.54736328, 1255.54736328, 1255.54736328, 1255.54736328,          -0.5,          -0.5,          -0.5,          -0.5, -0.000909884809516, 0.000909884809516, 0.133733019233, -5.23619886125e-18, -0.00166657089721, 1.63249356824e-18, -0.0913322046399, 3.12691580299e-18
        0.045, 0.58994281292, 1.23535890769e-16, 0.989386498928, -8.16602891577e-17, -3.88075995445, 3.05117361227e-16, 9.50038051605, 9.50038051605, 6.64647960663, 6.64647960663, 1353.03295898, 1353.03295898, 1353.03295898, 1353.03295898,          -0.5,          -0.5,          -0.5,          -0.5, -0.000378537923098, 0.000378537923098, 0.161289185286, -5.83122296308e-18, -0.0022239764221, 1.29535212136e-18, -0.109200425446, 4.39845018919e-18
